1,2
2,3
2,132
3,4
4,5
5,6
6,7
8,9
8,52
9,10
9,116
10,11
11,12
11,34
12,13
13,14
13,71
14,15
14,167
15,16
16,17
17,18
18,19
19,20
20,75
20,143
20,144
20,-1
21,22
22,23
23,24
23,103
24,25
25,26
26,27
27,28
28,29
29,30
30,31
30,50
31,32
31,114
32,33
33,34
34,35
35,36
35,11
36,37
36,119
36,137
37,38
38,137
38,39
39,40
40,41
41,42
41,180
42,43
43,-1
44,45
45,46
45,96
46,47
47,48
47,84
48,49
49,50
50,51
50,172
51,52
51,30
52,53
52,8
53,54
54,55
55,56
55,135
56,57
57,58
59,60
59,177
60,61
61,62
62,63
64,-1
65,66
65,98
66,67
67,68
68,69
68,81
69,70
70,71
70,168
71,72
71,13
72,73
73,74
73,138
74,-1
75,76
75,20
75,143
75,144
76,77
77,78
78,79
78,164
79,80
80,81
81,82
81,68
82,83
83,84
84,85
84,47
85,86
86,87
86,94
87,-1
88,89
88,99
89,90
90,91
91,92
92,93
93,94
94,95
94,84
95,96
96,97
96,45
97,98
98,65
98,-1
99,88
99,100
100,101
101,102
102,103
103,104
104,105
105,106
105,86
106,107
107,108
107,45
108,109
109,110
109,65
110,111
111,112
112,113
113,114
113,171
114,115
114,31
115,116
116,117
116,9
117,118
118,119
119,120
119,137
120,121
121,122
121,74
122,123
123,124
124,125
125,126
126,127
127,128
127,182
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
